order_status,MAX_FREIGHT,MAX_PRICE,MAX_PAYMENT,MIN_FREIGHT,MIN_PRICE,MIN_PAYMENT,MEDIAN_PRICE,MEDIAN_FREIGHT,MEDIAN_PAYMENT,AVG_FREIGHT,AVG_PRICE,AVG_PAYMENT,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY,ORDER_PURCHASE_HOUR
delivered,1269.00,2900.00,4768.00,1269.00,2900.00,4768.00,2900.000000,1269.000000,4768.000000,1269.000000,2900.000000,4768.000000,2017,1,10,Tuesday,17
delivered,1855.00,9990.00,3994.00,1855.00,9990.00,3994.00,9990.000000,1855.000000,3994.000000,1855.000000,9990.000000,3994.000000,2017,1,11,Wednseday,0
delivered,4247.00,6990.00,20277.00,2157.00,6279.00,13138.00,6634.500000,3202.000000,16707.500000,3202.000000,6634.500000,16707.500000,2017,1,11,Wednseday,11
delivered,1939.00,18400.00,13860.00,1939.00,18400.00,13860.00,18400.000000,1939.000000,13860.000000,1939.000000,18400.000000,13860.000000,2017,1,11,Wednseday,15
canceled,1649.00,13999.00,19890.00,1649.00,13999.00,19890.00,13999.000000,1649.000000,19890.000000,1649.000000,13999.000000,19890.000000,2017,1,11,Wednseday,18
delivered,787.00,1649.00,2723.00,787.00,1649.00,2723.00,1649.000000,787.000000,2723.000000,787.000000,1649.000000,2723.000000,2017,1,12,Thursday,9
delivered,1540.00,4290.00,19141.00,1540.00,4290.00,19141.00,4290.000000,1540.000000,19141.000000,1540.000000,4290.000000,19141.000000,2017,1,12,Thursday,13
delivered,1788.00,8990.00,12034.00,1788.00,8990.00,12034.00,8990.000000,1788.000000,12034.000000,1788.000000,8990.000000,12034.000000,2017,1,12,Thursday,22
canceled,9128.00,53900.00,3940.00,9128.00,53900.00,3940.00,53900.000000,9128.000000,3940.000000,9128.000000,53900.000000,3940.000000,2017,1,13,Friday,11
delivered,4101.00,2320.00,10688.00,4101.00,2320.00,10688.00,2320.000000,4101.000000,10688.000000,4101.000000,2320.000000,10688.000000,2017,1,13,Friday,11
delivered,2695.00,62370.00,22685.00,872.00,5699.00,3368.00,34034.500000,1783.500000,13026.500000,1783.500000,34034.500000,13026.500000,2017,1,13,Friday,20
delivered,2241.00,15900.00,23052.00,2241.00,15900.00,23052.00,15900.000000,2241.000000,23052.000000,2241.000000,15900.000000,23052.000000,2017,1,13,Friday,23
shipped,1566.00,7999.00,39753.00,1566.00,7999.00,39753.00,7999.000000,1566.000000,39753.000000,1566.000000,7999.000000,39753.000000,2017,1,14,Saturday,12
